region,mag,time,depth
"Southeast of Honshu, Japan",4.7,2025-07-14 19:37:04.2,92
"Ryukyu Islands, Japan",5.2,2025-07-14 17:44:35.5,10
"Ryukyu Islands, Japan",4.7,2025-07-14 16:53:27.9,78
"Ryukyu Islands, Japan",4.7,2025-07-14 16:35:03.1,42
"Ryukyu Islands, Japan",4.8,2025-07-14 12:52:19.2,10
"Off East Coast of Honshu, Japan",4.8,2025-07-14 11:37:02.3,10
"Ryukyu Islands, Japan",4.6,2025-07-14 10:55:22.6,36
"Ryukyu Islands, Japan",4.7,2025-07-14 09:53:23.3,55
"Ryukyu Islands, Japan",4.9,2025-07-14 06:28:14.6,10
"Ryukyu Islands, Japan",5.2,2025-07-14 05:39:07.0,10
"Southwestern Ryukyu Islands, Japan",5.2,2025-07-14 05:13:27.8,10
"Ryukyu Islands, Japan",4.7,2025-07-14 03:50:10.1,10
"Southeast of Honshu, Japan",4.8,2025-07-14 00:03:40.8,53
"Southeast of Honshu, Japan",4.7,2025-07-13 23:32:16.2,10
"Off East Coast of Honshu, Japan",4.8,2025-07-13 22:38:18.3,18
"Ryukyu Islands, Japan",4.7,2025-07-13 22:22:17.2,13
"Southeast of Honshu, Japan",4.3,2025-07-13 21:04:00.9,10
"Hokkaido, Japan Region",4.4,2025-07-13 20:10:59.4,16
"Ryukyu Islands, Japan",5.1,2025-07-13 17:58:29.9,96
"Ryukyu Islands, Japan",5.0,2025-07-13 17:08:31.7,10
"Ryukyu Islands, Japan",4.7,2025-07-13 14:22:42.3,10
"Ryukyu Islands, Japan",4.7,2025-07-13 14:18:34.4,13
"Ryukyu Islands, Japan",5.1,2025-07-13 13:14:41.4,10
"Ryukyu Islands, Japan",4.8,2025-07-13 12:28:21.6,10
"Ryukyu Islands, Japan",4.7,2025-07-13 11:28:57.5,10
"Ryukyu Islands, Japan",5.0,2025-07-13 11:19:34.9,10
"Ryukyu Islands, Japan",4.8,2025-07-13 10:46:44.4,10
"Ryukyu Islands, Japan",5.3,2025-07-13 06:16:53.7,25
"Off East Coast of Honshu, Japan",4.9,2025-07-13 05:56:59.5,18
"Ryukyu Islands, Japan",4.6,2025-07-12 20:54:25.5,48
"Ryukyu Islands, Japan",4.7,2025-07-12 20:32:52.8,10
"Ryukyu Islands, Japan",4.7,2025-07-12 18:11:21.9,53
"Volcano Islands, Japan Region",4.6,2025-07-12 15:16:56.2,10
"Ryukyu Islands, Japan",4.7,2025-07-12 12:36:27.8,10
"Ryukyu Islands, Japan",5.2,2025-07-12 07:50:09.6,10
"Ryukyu Islands, Japan",4.9,2025-07-12 06:52:33.3,12
"Ryukyu Islands, Japan",5.4,2025-07-12 05:16:47.8,22
"Ryukyu Islands, Japan",4.8,2025-07-12 05:14:41.6,10
"Ryukyu Islands, Japan",4.7,2025-07-12 04:00:36.9,51
"Ryukyu Islands, Japan",4.6,2025-07-12 01:33:54.6,10
"Ryukyu Islands, Japan",4.8,2025-07-12 00:12:00.9,10
"Ryukyu Islands, Japan",4.9,2025-07-11 20:44:49.0,10
"Ryukyu Islands, Japan",5.1,2025-07-11 20:09:47.3,10
"Ryukyu Islands, Japan",4.7,2025-07-11 16:24:05.2,10
"Ryukyu Islands, Japan",5.0,2025-07-11 14:09:52.6,44
"Ryukyu Islands, Japan",4.7,2025-07-11 12:45:14.8,44
"Ryukyu Islands, Japan",4.8,2025-07-11 11:32:15.8,41
"Ryukyu Islands, Japan",4.4,2025-07-11 08:57:03.3,10
"Ryukyu Islands, Japan",4.9,2025-07-11 07:30:21.1,10
"Southwestern Ryukyu Islands, Japan",5.0,2025-07-11 07:21:42.9,10
"Kyushu, Japan",4.9,2025-07-11 07:09:29.3,27
"Ryukyu Islands, Japan",4.8,2025-07-11 04:12:37.4,13
"Ryukyu Islands, Japan",5.2,2025-07-11 02:07:40.2,10
"Ryukyu Islands, Japan",4.7,2025-07-11 01:06:10.4,10
"Ryukyu Islands, Japan",4.5,2025-07-11 00:26:04.6,92
"Ryukyu Islands, Japan",4.2,2025-07-10 23:16:19.5,20
"Southeast of Honshu, Japan",4.5,2025-07-10 21:20:33.0,17
"Hokkaido, Japan Region",4.7,2025-07-10 19:51:19.2,53
"Ryukyu Islands, Japan",4.8,2025-07-10 15:35:23.9,22
"Ryukyu Islands, Japan",5.0,2025-07-10 15:35:09.0,10
"Ryukyu Islands, Japan",4.8,2025-07-10 14:43:42.6,14
"Bonin Islands, Japan Region",4.8,2025-07-10 14:38:33.1,17
"Southwestern Ryukyu Islands, Japan",4.8,2025-07-10 13:54:13.4,30
"Ryukyu Islands, Japan",5.2,2025-07-10 13:19:19.9,51
"Near East Coast of Honshu, Japan",4.3,2025-07-10 12:26:30.4,21
"Ryukyu Islands, Japan",4.8,2025-07-10 11:48:51.7,10
"Off East Coast of Honshu, Japan",5.0,2025-07-10 09:26:05.9,12
"Ryukyu Islands, Japan",4.4,2025-07-10 09:01:55.3,11
"Ryukyu Islands, Japan",4.6,2025-07-10 08:47:32.8,10
"Hokkaido, Japan Region",4.6,2025-07-10 08:39:29.5,55
"Ryukyu Islands, Japan",4.6,2025-07-10 06:50:49.2,22
"Ryukyu Islands, Japan",4.8,2025-07-10 04:55:06.2,10
"Hokkaido, Japan Region",4.8,2025-07-10 04:55:03.9,18
"Ryukyu Islands, Japan",5.2,2025-07-10 04:46:57.1,19
"Ryukyu Islands, Japan",4.7,2025-07-10 03:49:40.1,17
"Ryukyu Islands, Japan",4.8,2025-07-10 03:34:49.4,10
"Ryukyu Islands, Japan",4.6,2025-07-09 22:54:07.6,
"Ryukyu Islands, Japan",4.7,2025-07-09 22:12:57.6,10
"Ryukyu Islands, Japan",5.1,2025-07-09 19:11:59.5,57
"Off Coast of Hokkaido, Japan",5.0,2025-07-09 18:39:51.3,10
"Ryukyu Islands, Japan",5.3,2025-07-09 12:32:02.2,23
"Ryukyu Islands, Japan",4.9,2025-07-09 12:14:17.1,11
"Ryukyu Islands, Japan",4.6,2025-07-09 11:59:15.4,99
"Off Coast of Hokkaido, Japan",4.6,2025-07-09 09:37:55.5,15
"Ryukyu Islands, Japan",4.7,2025-07-09 06:21:54.7,48
"Southeast of Honshu, Japan",4.8,2025-07-09 05:27:33.9,15
"Southeast of Honshu, Japan",4.6,2025-07-09 05:25:56.3,10
"Near East Coast of Honshu, Japan",4.8,2025-07-09 03:39:49.2,10
"Kyushu, Japan",4.6,2025-07-09 02:21:40.4,10
"Near East Coast of Honshu, Japan",5.1,2025-07-08 23:50:40.1,54
"Near East Coast of Honshu, Japan",5.0,2025-07-08 22:01:46.0,90
"Bonin Islands, Japan Region",4.7,2025-07-08 21:54:21.0,10
"Southeast of Honshu, Japan",4.9,2025-07-08 21:32:54.9,49
"Bonin Islands, Japan Region",4.8,2025-07-08 21:11:31.5,10
"Hokkaido, Japan Region",4.5,2025-07-08 20:38:45.3,55
"Eastern Honshu, Japan",4.8,2025-07-08 18:56:35.7,17
"Western Honshu, Japan",5.1,2025-07-08 17:22:04.3,10
"Hokkaido, Japan Region",5.3,2025-07-08 17:11:56.8,10
"Near East Coast of Honshu, Japan",4.9,2025-07-08 16:48:28.2,10
"Hokkaido, Japan Region",5.0,2025-07-08 14:50:38.5,10
"Southeast of Honshu, Japan",4.8,2025-07-08 14:38:15.2,10
"Hokkaido, Japan Region",4.7,2025-07-08 14:22:06.9,49
"Hokkaido, Japan Region",4.8,2025-07-08 11:40:07.6,50
"Off East Coast of Honshu, Japan",4.4,2025-07-08 09:29:56.2,10
"Near East Coast of Honshu, Japan",4.8,2025-07-08 08:43:19.0,11
"Hokkaido, Japan Region",4.5,2025-07-08 03:52:12.8,10
"Off East Coast of Honshu, Japan",4.4,2025-07-08 03:13:49.1,17
"Hokkaido, Japan Region",4.6,2025-07-08 03:02:48.7,54
"Hokkaido, Japan Region",4.9,2025-07-08 02:00:16.5,10
"Hokkaido, Japan Region",4.4,2025-07-08 01:21:06.6,22
"Southeast of Honshu, Japan",5.2,2025-07-07 23:54:08.8,55
"Southeast of Shikoku, Japan",5.2,2025-07-07 23:52:41.0,10
"Hokkaido, Japan Region",4.7,2025-07-07 23:30:58.5,22
"Hokkaido, Japan Region",4.7,2025-07-07 22:53:53.8,33
"Hokkaido, Japan Region",4.4,2025-07-07 19:57:05.7,16
"Eastern Honshu, Japan",5.0,2025-07-07 19:45:50.1,10
"Hokkaido, Japan Region",5.0,2025-07-07 17:46:06.5,14
"Southeast of Honshu, Japan",4.4,2025-07-07 17:18:36.8,24
"Ryukyu Islands, Japan",4.6,2025-07-07 16:25:03.4,53
"Near East Coast of Honshu, Japan",4.3,2025-07-07 13:48:55.4,42
"Volcano Islands, Japan Region",5.0,2025-07-07 10:41:05.4,10
"Off Coast of Hokkaido, Japan",4.1,2025-07-07 10:39:27.9,10
"Bonin Islands, Japan Region",4.4,2025-07-07 10:24:10.7,11
"Hokkaido, Japan Region",4.8,2025-07-07 10:16:03.0,10
"Southeast of Honshu, Japan",4.9,2025-07-07 09:42:37.3,10
"Near East Coast of Honshu, Japan",5.0,2025-07-07 09:42:22.1,10
"Eastern Honshu, Japan",4.5,2025-07-07 08:29:52.8,95
"Hokkaido, Japan Region",4.3,2025-07-07 06:20:41.6,10
